,Label,Parameter,Treatment,Value,Significant,Time,Significance
147,Light1,CD,T3,0.199244573,NS,96 h,p>0.05
148,Light1,FD,T3,-0.199244573,NS,96 h,p>0.05
149,Light1,FF,T3,0.262278709,NS,96 h,p>0.05
150,Light1,TD,T3,0.173711624,NS,96 h,p>0.05
151,Light1,TA,T3,-0.073843303,NS,96 h,p>0.05
152,Light1,V,T3,0.173703788,NS,96 h,p>0.05
153,Light2,AV,T3,0.111554897,NS,96 h,p>0.05
154,Light2,CF,T3,0.268778371,NS,96 h,p>0.05
155,Light2,CD,T3,0.137077473,NS,96 h,p>0.05
156,Light2,FD,T3,-0.137077473,NS,96 h,p>0.05
157,Light2,FF,T3,0.269911768,NS,96 h,p>0.05
158,Light2,TD,T3,0.10045025,NS,96 h,p>0.05
159,Light2,TA,T3,0.111555002,NS,96 h,p>0.05
160,Light2,V,T3,0.100433421,NS,96 h,p>0.05
